Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
1	35	0	23481	17474	6007	37001	3982	0.600513	0	1290	470	2570
1	36	0	23505	17520	5985	37344	4036	0.608656	0	1290	470	2570
1	37	0	23621	17702	5919	37904	4056	0.611672	0	1290	470	2570
1	38	0	23701	17873	5828	38516	4059	0.612125	0	1290	460	2570
1	39	0	23441	17612	5829	37671	4026	0.607148	0	1290	460	2570
1	40	0	23501	17685	5816	37534	3997	0.602775	0	1290	460	2570
1	41	0	23412	17489	5923	36985	4011	0.604886	0	1290	460	2570
1	42	0	23493	17621	5872	36679	4007	0.604283	0	1290	440	2570
1	43	0	23691	17777	5914	37736	4077	0.614839	0	1290	440	2570
1	44	0	23767	17844	5923	37195	4011	0.604886	0	1290	460	2570
1	45	0	23405	17518	5887	37397	4017	0.605791	0	1290	460	2570
1	46	0	23609	17761	5848	37471	4084	0.615895	0	1290	460	2570
1	47	0	23755	17867	5888	37460	4113	0.620268	0	1290	460	2570
1	48	0	23783	17741	6042	36806	4045	0.610014	0	1290	470	2570
1	49	0	23813	17757	6056	37233	4038	0.608958	0	1290	470	2570
1	50	0	23765	17793	5972	0	4051	0.610918	0	1290	470	2570
